左上图,右上图,左下图,右下图,性别,图片,情绪面孔位置,正确面孔位置
(中性)114444/愤怒4.png,(中性)114444/厌恶3.png,(中性)114444/中性1.png,(中性)114444/中性2.png,1,1,12,1
(中性)114444/愤怒2.png,(中性)114444/愤怒3.png,(中性)114444/愤怒4.png,(中性)114444/愤怒1.png,2,2,1,1
